                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1246,                 2.9599,                 3.8179,                0.18208,                0.28212,                0.11043,                0.03811,                 2.7959,                 2.8297,                 3.3565,              0.0033175,              0.0033175,              0.0033175
                      2,                 2.4739,                 2.2319,                 2.9424,                0.47344,                0.39944,                0.36343,                0.14415,                 2.2382,                 1.8993,                 2.7083,              0.0066288,              0.0066288,              0.0066288
                      3,                 2.0819,                 1.9552,                 2.4451,                0.53722,                0.44832,                0.44967,                0.20046,                 2.0297,                 1.7529,                 2.3953,              0.0099182,              0.0099182,              0.0099182
                      4,                 1.9243,                 1.8597,                 2.2176,                0.42778,                 0.4148,                0.37753,                0.17053,                  1.867,                 2.1755,                 2.1677,               0.009901,               0.009901,               0.009901
                      5,                  1.748,                 1.7165,                 2.0307,                0.69155,                0.56704,                0.59902,                0.29328,                 1.7753,                 1.4706,                 2.0651,               0.009868,               0.009868,               0.009868
                      6,                 1.7001,                  1.666,                 1.9617,                0.63605,                0.53911,                0.57802,                0.29775,                 1.7074,                  1.519,                 1.9847,               0.009835,               0.009835,               0.009835
                      7,                 1.6552,                  1.613,                 1.9228,                0.61859,                0.58659,                0.58893,                0.30089,                 1.7127,                 1.5541,                 1.9763,               0.009802,               0.009802,               0.009802
                      8,                 1.6022,                 1.5854,                 1.8639,                0.66041,                0.58659,                0.61678,                0.30974,                 1.6004,                 1.3854,                 1.8703,               0.009769,               0.009769,               0.009769
                      9,                 1.5687,                 1.5508,                 1.8454,                0.67697,                0.65363,                0.67108,                0.36308,                 1.5835,                 1.2755,                 1.8232,               0.009736,               0.009736,               0.009736
                     10,                 1.5426,                 1.5315,                 1.8105,                0.74389,                0.66061,                0.69598,                0.37606,                 1.5618,                 1.2917,                  1.821,               0.009703,               0.009703,               0.009703
                     11,                 1.4844,                 1.4625,                 1.7564,                0.64907,                0.62151,                0.64656,                0.35401,                 1.6006,                  1.324,                   1.82,                0.00967,                0.00967,                0.00967
                     12,                 1.4732,                  1.487,                 1.7522,                0.67714,                0.57402,                0.65056,                0.35766,                 1.5526,                 1.3056,                 1.7431,               0.009637,               0.009637,               0.009637
                     13,                 1.4804,                 1.4479,                 1.7346,                0.65123,                0.64665,                0.67664,                0.36988,                 1.5144,                 1.2976,                 1.7506,               0.009604,               0.009604,               0.009604
                     14,                 1.4469,                 1.4343,                 1.7207,                 0.7139,                 0.6648,                0.70356,                0.38651,                 1.5798,                 1.2058,                 1.8075,               0.009571,               0.009571,               0.009571
                     15,                   1.47,                 1.4468,                 1.7252,                0.70584,                0.67695,                0.70895,                0.38626,                 1.5505,                 1.2001,                  1.771,               0.009538,               0.009538,               0.009538
                     16,                 1.3961,                 1.3841,                 1.6876,                0.68772,                0.64944,                0.68599,                0.38555,                 1.5754,                 1.1858,                 1.7738,               0.009505,               0.009505,               0.009505
                     17,                 1.4103,                 1.3625,                 1.6814,                 0.7078,                0.64804,                0.71203,                0.39534,                 1.5296,                 1.1757,                 1.7664,               0.009472,               0.009472,               0.009472
                     18,                 1.3907,                  1.355,                 1.6591,                0.71536,                0.67598,                0.71757,                 0.3983,                 1.5573,                 1.1122,                 1.7682,               0.009439,               0.009439,               0.009439
                     19,                 1.3628,                 1.3165,                  1.636,                0.74166,                0.67362,                0.72327,                0.39487,                 1.5222,                 1.1677,                 1.7444,               0.009406,               0.009406,               0.009406
                     20,                 1.3793,                 1.3481,                 1.6404,                0.75683,                0.64333,                0.74681,                0.42016,                 1.4604,                 1.1326,                 1.6896,               0.009373,               0.009373,               0.009373
                     21,                 1.3498,                  1.303,                 1.6322,                0.71773,                 0.6243,                0.70049,                0.39186,                 1.4984,                 1.1972,                  1.718,                0.00934,                0.00934,                0.00934
                     22,                 1.3572,                 1.3251,                 1.6308,                0.74106,                0.70531,                0.75295,                0.44296,                  1.449,                 1.0473,                 1.6755,               0.009307,               0.009307,               0.009307
                     23,                 1.3305,                 1.3106,                 1.6072,                 0.7331,                 0.6648,                0.73502,                0.40848,                  1.491,                 1.1231,                 1.7168,               0.009274,               0.009274,               0.009274
                     24,                 1.3356,                 1.2924,                    1.6,                0.78784,                0.67598,                0.76279,                0.43362,                 1.4508,                 1.0224,                 1.6841,               0.009241,               0.009241,               0.009241
                     25,                  1.331,                 1.2545,                 1.5916,                0.70741,                 0.6855,                0.75305,                0.43265,                 1.4552,                 1.0624,                  1.655,               0.009208,               0.009208,               0.009208
                     26,                 1.3087,                 1.2662,                 1.5922,                0.71566,                0.66201,                0.73304,                0.41642,                 1.4617,                 1.1668,                  1.686,               0.009175,               0.009175,               0.009175
                     27,                 1.3003,                 1.2572,                 1.5731,                0.75372,                0.70953,                0.77608,                0.44585,                 1.4524,                 1.0031,                  1.675,               0.009142,               0.009142,               0.009142
                     28,                 1.3027,                 1.2491,                 1.5869,                 0.7687,                 0.6916,                0.75819,                0.44001,                 1.4545,                 1.0503,                 1.6516,               0.009109,               0.009109,               0.009109
                     29,                 1.2829,                  1.248,                 1.5693,                0.72392,                0.72346,                0.76818,                0.42942,                 1.4883,                 1.0635,                 1.6676,               0.009076,               0.009076,               0.009076
