                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1921,                 3.9059,                 4.2041,                0.01189,                0.08659,                0.00618,                 0.0017,                 3.0707,                 7.2079,                 8.1371,              0.0033175,              0.0033175,              0.0033175
                      2,                 3.0875,                 3.4379,                 3.8714,                 0.1268,                0.18017,                0.06787,                0.02034,                 2.5743,                 3.0447,                 3.7034,              0.0066288,              0.0066288,              0.0066288
                      3,                 2.4326,                 2.7267,                 3.0128,                0.15478,                0.11453,                0.06741,                0.02355,                 2.5684,                 3.2746,                 3.4373,              0.0099182,              0.0099182,              0.0099182
                      4,                 2.0535,                 2.3755,                 2.5483,                 0.4369,                0.35196,                0.29756,                0.12542,                 2.0597,                 2.3951,                 2.6957,               0.009901,               0.009901,               0.009901
                      5,                 1.8163,                 2.0939,                 2.2624,                0.52962,                0.51955,                0.51248,                0.24874,                 1.7757,                 1.9918,                 2.2898,               0.009868,               0.009868,               0.009868
                      6,                 1.7233,                 1.9941,                 2.1637,                0.58556,                 0.5032,                0.51813,                0.25014,                 1.7715,                 1.8846,                 2.2404,               0.009835,               0.009835,               0.009835
                      7,                 1.6797,                 1.9268,                 2.0913,                0.60674,                 0.5405,                0.57138,                0.28391,                 1.6515,                 1.7721,                 2.1008,               0.009802,               0.009802,               0.009802
                      8,                 1.6232,                 1.8615,                 2.0185,                0.67532,                0.55484,                0.63417,                0.34237,                 1.5596,                 1.5582,                 1.9836,               0.009769,               0.009769,               0.009769
                      9,                 1.5767,                 1.8063,                 1.9614,                0.64858,                0.60317,                0.63208,                0.34384,                 1.5873,                 1.5581,                 2.0269,               0.009736,               0.009736,               0.009736
                     10,                 1.5414,                 1.7926,                 1.9308,                0.68453,                0.58794,                0.64558,                0.35397,                  1.516,                 1.4411,                 1.9464,               0.009703,               0.009703,               0.009703
