                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2408,                 3.7959,                 4.1741,                0.00388,                 0.5838,                0.00825,                0.00263,                 2.9897,                 3.4855,                 4.1346,              0.0033175,              0.0033175,              0.0033175
                      2,                 3.0068,                 3.2043,                  3.779,                0.30913,                 0.2933,                 0.2143,                0.06703,                  2.384,                 2.5695,                  3.169,              0.0066179,              0.0066179,              0.0066179
                      3,                 2.3061,                  2.487,                 2.9057,                0.35771,                0.36732,                0.27873,                0.11832,                 2.0368,                 2.7731,                 2.7715,              0.0098853,              0.0098853,              0.0098853
                      4,                 1.9232,                 2.1006,                 2.4416,                0.53235,                0.53212,                0.51643,                0.25036,                 1.7631,                 1.7623,                 2.3783,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.7052,                 1.8927,                 2.1964,                0.67286,                 0.5975,                0.63326,                0.33863,                 1.6352,                 1.5197,                 2.2293,               0.009802,               0.009802,               0.009802
                      6,                 1.6078,                 1.7723,                 2.1018,                0.71104,                0.63581,                0.69241,                0.37526,                 1.5258,                 1.3764,                 2.0602,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.5339,                 1.6815,                 2.0056,                0.74391,                 0.6329,                0.69895,                0.38818,                 1.5254,                 1.3475,                 2.0301,               0.009703,               0.009703,               0.009703
                      8,                 1.4905,                 1.6218,                 1.9536,                0.68273,                0.68715,                0.69889,                0.39137,                 1.4772,                 1.2913,                 1.9776,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4514,                 1.5978,                 1.9123,                0.67811,                0.64804,                0.68632,                0.36971,                 1.5034,                 1.2868,                 1.9813,               0.009604,               0.009604,               0.009604
                     10,                 1.4039,                 1.5243,                 1.8715,                0.67832,                0.67458,                 0.7034,                0.36462,                 1.4875,                 1.3071,                 1.9526,              0.0095545,              0.0095545,              0.0095545
                     11,                  1.383,                 1.5056,                 1.8459,                0.72029,                0.71927,                 0.7427,                0.42208,                 1.4481,                 1.2181,                  1.933,               0.009505,               0.009505,               0.009505
                     12,                 1.3603,                 1.4556,                 1.8215,                0.72153,                 0.7486,                0.77545,                0.44205,                 1.3888,                 1.1205,                 1.8461,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.3306,                 1.4574,                 1.8068,                0.77964,                 0.6819,                0.77304,                0.44464,                 1.4149,                 1.0991,                 1.8828,               0.009406,               0.009406,               0.009406
                     14,                 1.3428,                 1.4207,                 1.8003,                0.74305,                 0.7095,                0.77742,                0.45407,                 1.3549,                 1.0999,                 1.8071,              0.0093565,              0.0093565,              0.0093565
                     15,                  1.294,                 1.3786,                 1.7507,                0.76183,                0.66119,                0.75774,                0.44302,                 1.3464,                 1.1397,                 1.7942,               0.009307,               0.009307,               0.009307
                     16,                 1.2928,                 1.3744,                 1.7485,                0.74772,                0.68436,                0.76815,                0.44492,                 1.3419,                  1.077,                 1.8041,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.2773,                 1.3308,                   1.73,                0.75116,                0.72486,                0.77787,                0.46066,                 1.3476,                 1.0457,                 1.7939,               0.009208,               0.009208,               0.009208
                     18,                 1.2567,                 1.3323,                 1.7193,                0.75481,                0.69654,                0.78016,                0.46472,                 1.2986,                 1.0668,                  1.756,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.2331,                 1.3044,                 1.6861,                0.77341,                0.75698,                0.81852,                0.47357,                  1.311,                 1.0013,                 1.7548,               0.009109,               0.009109,               0.009109
                     20,                 1.2482,                 1.3012,                  1.697,                0.79874,                0.71788,                0.79435,                0.46466,                 1.3441,                 1.0058,                  1.763,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.2407,                 1.2913,                 1.6825,                 0.8038,                0.73045,                0.81158,                0.49367,                 1.3116,                0.98215,                 1.7189,                0.00901,                0.00901,                0.00901
                     22,                 1.2163,                 1.2691,                 1.6703,                0.79744,                0.72207,                0.80329,                0.47478,                 1.3182,                 1.0439,                 1.7208,              0.0089605,              0.0089605,              0.0089605
                     23,                  1.184,                 1.2314,                 1.6333,                0.79413,                0.78117,                0.82306,                0.49503,                 1.2867,                 0.9291,                 1.6913,               0.008911,               0.008911,               0.008911
                     24,                 1.1869,                  1.249,                 1.6356,                0.77668,                0.74721,                0.79307,                0.46843,                 1.3124,                 1.0288,                 1.7684,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.1707,                   1.22,                 1.6309,                0.79337,                0.71788,                0.79771,                0.48759,                 1.2897,                0.99944,                 1.6866,               0.008812,               0.008812,               0.008812
                     26,                  1.165,                 1.2107,                 1.6167,                0.78817,                0.77654,                0.82926,                0.49337,                 1.3088,                 0.9366,                 1.7121,              0.0087625,              0.0087625,              0.0087625
                     27,                  1.149,                 1.1994,                 1.6071,                0.80007,                0.72765,                0.81092,                0.48903,                 1.2619,                 1.0095,                 1.6949,               0.008713,               0.008713,               0.008713
                     28,                 1.1525,                 1.1721,                 1.6142,                0.78647,                0.76649,                0.83039,                0.50263,                 1.2521,                0.94452,                 1.6626,              0.0086635,              0.0086635,              0.0086635
