                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2319,                 3.7134,                 4.1636,                0.00454,                0.64106,                0.02752,                0.00817,                 2.9625,                 3.1822,                 4.0633,              0.0033175,              0.0033175,              0.0033175
                      2,                 2.9494,                 3.0591,                  3.686,                 0.4107,                0.32263,                0.27718,                0.10371,                 2.3407,                 2.3803,                 3.1408,              0.0066179,              0.0066179,              0.0066179
                      3,                 2.2416,                  2.435,                  2.828,                0.57499,                0.45251,                0.47157,                0.21713,                 1.9083,                 2.1049,                 2.5646,              0.0098853,              0.0098853,              0.0098853
                      4,                 1.9007,                 2.1083,                 2.4026,                0.55897,                0.46089,                0.47337,                0.24358,                 1.7938,                 1.8714,                 2.3668,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.7149,                 1.8975,                 2.1926,                0.65873,                0.49441,                0.54954,                 0.3014,                 1.6596,                 1.7545,                  2.201,               0.009802,               0.009802,               0.009802
                      6,                 1.6338,                 1.7999,                 2.1051,                0.68582,                0.59497,                 0.6366,                 0.3348,                 1.6089,                 1.5068,                 2.1379,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.5556,                 1.7245,                 2.0139,                0.63817,                0.57402,                0.61375,                0.32026,                 1.5766,                 1.5702,                 2.0443,               0.009703,               0.009703,               0.009703
                      8,                 1.5162,                 1.6583,                 1.9672,                0.73317,                0.65922,                0.72061,                0.40142,                 1.4864,                 1.3499,                 1.9996,              0.0096535,              0.0096535,              0.0096535
                      9,                   1.49,                  1.646,                 1.9357,                0.71607,                0.67039,                0.70344,                0.37638,                 1.4748,                 1.3543,                 1.9566,               0.009604,               0.009604,               0.009604
                     10,                 1.4406,                 1.5719,                 1.8938,                0.70673,                0.69134,                0.70703,                0.37956,                 1.5113,                 1.2854,                 1.9857,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4062,                 1.5522,                 1.8639,                0.74799,                0.71369,                0.74902,                  0.445,                 1.4013,                 1.1383,                  1.893,               0.009505,               0.009505,               0.009505
                     12,                 1.3939,                  1.514,                 1.8353,                0.74641,                 0.7095,                 0.7518,                0.43127,                 1.4369,                 1.1769,                 1.9143,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.3668,                 1.5032,                   1.82,                0.75153,                0.64106,                0.72296,                0.41475,                 1.4449,                 1.2146,                 1.8998,               0.009406,               0.009406,               0.009406
                     14,                 1.3751,                 1.4721,                 1.8163,                0.77905,                 0.7081,                 0.7671,                0.44384,                 1.3924,                 1.1033,                 1.8389,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.3254,                 1.4385,                 1.7693,                0.77682,                 0.7095,                0.77078,                0.46193,                  1.365,                 1.1535,                 1.7963,               0.009307,               0.009307,               0.009307
                     16,                 1.3228,                 1.4308,                 1.7725,                0.77725,                0.68994,                0.76666,                0.45611,                 1.3686,                 1.0877,                 1.8041,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.3068,                 1.3923,                 1.7502,                0.77471,                0.69134,                0.78281,                0.45928,                  1.371,                 1.0931,                 1.8473,               0.009208,               0.009208,               0.009208
                     18,                 1.2925,                 1.3774,                 1.7379,                0.77136,                0.73184,                0.79016,                0.45711,                 1.3409,                 1.0576,                 1.7752,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.2615,                 1.3492,                 1.7072,                0.78439,                0.69413,                0.78138,                0.45781,                 1.3339,                 1.0518,                 1.7839,               0.009109,               0.009109,               0.009109
                     20,                  1.284,                 1.3607,                 1.7253,                0.76889,                 0.7067,                0.78326,                0.47358,                 1.2954,                  1.021,                 1.7345,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.2762,                 1.3429,                 1.7142,                0.78474,                0.73603,                0.79176,                0.48136,                 1.3228,                 1.0113,                 1.7618,                0.00901,                0.00901,                0.00901
                     22,                 1.2465,                 1.3142,                 1.6931,                0.79617,                0.75279,                0.80604,                 0.4775,                 1.3279,                0.97968,                 1.7591,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.2144,                 1.2772,                 1.6572,                0.72223,                0.75535,                0.79342,                 0.4827,                 1.2892,                 0.9881,                 1.7039,               0.008911,               0.008911,               0.008911
                     24,                 1.2263,                 1.3018,                 1.6655,                0.75268,                0.71408,                0.75283,                 0.4315,                 1.3397,                 1.1149,                 1.7727,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.2103,                 1.2633,                 1.6635,                0.76968,                0.75279,                0.80744,                0.48437,                 1.2895,                 1.0012,                 1.6854,               0.008812,               0.008812,               0.008812
                     26,                 1.1992,                 1.2584,                 1.6417,                0.79258,                0.75559,                0.81577,                0.50236,                 1.2582,                0.93054,                 1.6806,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.1833,                 1.2414,                 1.6381,                0.82588,                0.71927,                0.81855,                0.49834,                 1.2736,                0.96457,                 1.7071,               0.008713,               0.008713,               0.008713
                     28,                 1.1819,                 1.2273,                 1.6378,                0.79089,                0.75011,                 0.8069,                0.49119,                 1.2768,                0.97142,                 1.7076,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.1686,                 1.2096,                 1.6123,                0.80687,                0.71927,                0.80114,                0.47247,                 1.2871,                 1.0097,                 1.7156,               0.008614,               0.008614,               0.008614
                     30,                 1.1671,                 1.1978,                 1.6119,                0.80196,                0.72207,                0.81494,                0.48446,                 1.3024,                0.94035,                 1.7168,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.1577,                 1.2042,                 1.5978,                0.75596,                0.73979,                 0.7906,                0.48817,                 1.2693,                0.97757,                  1.708,               0.008515,               0.008515,               0.008515
                     32,                 1.1659,                 1.1752,                 1.6097,                0.78059,                0.74581,                0.81818,                0.50317,                 1.2566,                0.89951,                 1.6733,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.1422,                 1.1889,                 1.5847,                0.79427,                 0.7081,                0.80759,                0.49576,                 1.2548,                0.94248,                 1.6696,               0.008416,               0.008416,               0.008416
                     34,                 1.1314,                 1.1588,                 1.5701,                 0.7895,                0.72765,                0.80265,                0.49635,                 1.2734,                0.93184,                 1.7111,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.1358,                 1.1603,                 1.5807,                0.79559,                0.76117,                0.82688,                0.50933,                  1.238,                 0.8884,                 1.6492,               0.008317,               0.008317,               0.008317
                     36,                 1.1252,                 1.1299,                 1.5668,                0.77855,                0.79469,                0.83993,                0.51813,                 1.2334,                0.87011,                 1.6817,              0.0082675,              0.0082675,              0.0082675
                     37,                  1.122,                 1.1477,                 1.5681,                0.81985,                 0.7818,                0.84551,                0.52127,                 1.2271,                0.86013,                 1.6362,               0.008218,               0.008218,               0.008218
                     38,                 1.1047,                 1.1229,                 1.5568,                0.78195,                0.79133,                0.83641,                0.51651,                 1.2267,                0.85472,                 1.6703,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.1052,                 1.1204,                 1.5545,                0.83669,                0.74419,                0.82949,                 0.5276,                 1.2147,                0.84857,                 1.6451,               0.008119,               0.008119,               0.008119
                     40,                 1.0878,                 1.1062,                 1.5281,                0.81787,                 0.7933,                0.85241,                0.53357,                 1.2026,                  0.819,                 1.6248,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.0868,                 1.1129,                 1.5332,                0.82936,                0.76025,                0.84137,                0.52676,                  1.207,                0.84719,                 1.6417,                0.00802,                0.00802,                0.00802
                     42,                  1.084,                 1.0993,                 1.5408,                0.80089,                0.74156,                0.82289,                0.51401,                 1.2317,                0.89251,                 1.6501,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.0779,                 1.1045,                 1.5347,                0.81167,                0.80307,                0.84725,                0.52052,                  1.201,                0.84169,                   1.65,               0.007921,               0.007921,               0.007921
                     44,                  1.091,                 1.0894,                 1.5308,                0.81234,                0.80406,                0.84631,                0.53187,                 1.2179,                0.82643,                 1.6331,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0738,                 1.0831,                 1.5249,                0.79872,                 0.7905,                0.83758,                0.52434,                 1.2396,                0.84289,                 1.6473,               0.007822,               0.007822,               0.007822
                     46,                 1.0522,                 1.0583,                 1.4971,                0.79429,                0.80352,                0.83691,                0.52124,                 1.2153,                0.83998,                 1.6266,              0.0077725,              0.0077725,              0.0077725
