                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2368,                 3.7976,                 4.1675,                 0.0041,                0.60196,                0.01253,                0.00395,                 2.9885,                 3.3906,                 4.0794,              0.0033175,              0.0033175,              0.0033175
                      2,                 3.0729,                 3.1925,                 3.6974,                0.15902,                0.13408,                0.06316,                0.02053,                 2.7856,                 3.1111,                 3.6585,              0.0066179,              0.0066179,              0.0066179
                      3,                 2.3994,                  2.621,                 2.9604,                0.31728,                0.35475,                0.22345,                0.07896,                 2.1818,                 2.5827,                 2.9194,              0.0098853,              0.0098853,              0.0098853
                      4,                 2.0186,                 2.2729,                 2.5516,                0.37056,                0.34497,                0.29052,                 0.1321,                 1.9426,                 2.9247,                 2.5868,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8016,                 2.0352,                 2.3081,                0.60282,                0.51721,                0.53111,                0.27254,                 1.7368,                 1.7932,                 2.2557,               0.009802,               0.009802,               0.009802
                      6,                 1.7055,                 1.9107,                 2.1999,                0.70169,                0.63268,                0.66157,                0.34837,                 1.6264,                 1.4909,                 2.1594,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.6295,                 1.8214,                 2.0994,                0.60908,                0.52374,                0.57097,                0.31473,                 1.6356,                  1.689,                 2.1511,               0.009703,               0.009703,               0.009703
                      8,                 1.5741,                  1.758,                 2.0443,                0.66394,                0.57263,                0.62536,                0.33869,                 1.5754,                 1.4755,                 2.0873,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.5402,                 1.7316,                  2.006,                0.67635,                0.61001,                0.65357,                0.34406,                 1.5614,                 1.4393,                 2.0433,               0.009604,               0.009604,               0.009604
                     10,                 1.4953,                 1.6514,                 1.9567,                 0.7105,                0.59777,                0.66666,                0.36967,                 1.5582,                 1.4172,                 2.0152,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4719,                 1.6223,                 1.9265,                0.73112,                 0.6662,                0.72195,                0.41207,                 1.4682,                  1.257,                 1.9258,               0.009505,               0.009505,               0.009505
