                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1968,                 3.8121,                 4.1562,                0.01079,                0.03212,                0.00765,                0.00235,                 2.9619,                 3.7124,                 4.4975,              0.0033175,              0.0033175,              0.0033175
                      2,                  3.012,                 3.2818,                 3.7074,                0.14123,                0.20391,                0.08308,                0.02873,                 2.6084,                 3.0601,                 3.4826,              0.0066288,              0.0066288,              0.0066288
                      3,                 2.4015,                  2.715,                 2.9954,                0.36226,                0.41571,                0.29094,                0.11477,                 2.0798,                 2.4495,                 2.8106,              0.0099182,              0.0099182,              0.0099182
                      4,                 2.0277,                 2.3352,                 2.5556,                0.48472,                0.40084,                0.38514,                0.17776,                 1.9053,                 2.2582,                 2.5254,               0.009901,               0.009901,               0.009901
                      5,                 1.7991,                 2.0534,                 2.2773,                0.61581,                 0.5405,                0.57996,                0.28642,                 1.7035,                 1.7141,                 2.2402,               0.009868,               0.009868,               0.009868
                      6,                 1.7093,                 1.9361,                 2.1717,                0.72733,                0.57373,                0.64295,                 0.3246,                 1.6753,                  1.583,                 2.1679,               0.009835,               0.009835,               0.009835
                      7,                 1.6608,                 1.8811,                 2.1131,                0.68302,                0.56704,                0.63951,                0.33806,                 1.6206,                 1.5428,                 2.1322,               0.009802,               0.009802,               0.009802
                      8,                 1.6139,                 1.8132,                   2.06,                0.73929,                0.59497,                0.67381,                0.36699,                 1.5602,                 1.4031,                 2.0104,               0.009769,               0.009769,               0.009769
                      9,                 1.5553,                 1.7602,                 2.0058,                 0.6918,                0.64665,                0.69623,                0.38329,                 1.5417,                 1.3905,                  2.013,               0.009736,               0.009736,               0.009736
                     10,                 1.5216,                 1.7469,                 1.9655,                0.69098,                0.60585,                0.65877,                0.36161,                 1.5204,                 1.4217,                 1.9944,               0.009703,               0.009703,               0.009703
                     11,                  1.469,                 1.6633,                 1.9163,                0.72297,                0.63827,                0.70593,                0.37929,                  1.539,                 1.3725,                 2.0128,                0.00967,                0.00967,                0.00967
                     12,                 1.4522,                  1.683,                    1.9,                0.74481,                0.65503,                0.72345,                0.41009,                 1.4809,                 1.3086,                 1.9441,               0.009637,               0.009637,               0.009637
                     13,                 1.4638,                 1.6411,                 1.8904,                0.72974,                0.63357,                0.71328,                0.40912,                 1.4318,                 1.3225,                 1.8709,               0.009604,               0.009604,               0.009604
                     14,                 1.4297,                 1.6192,                 1.8704,                0.70676,                0.64293,                0.70327,                0.40695,                 1.4677,                 1.2891,                 1.8974,               0.009571,               0.009571,               0.009571
