                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2289,                 3.7032,                 4.1215,                0.00442,                0.67737,                0.01296,                0.00366,                 2.9501,                 3.5009,                 4.5203,              0.0033175,              0.0033175,              0.0033175
                      2,                 2.9234,                  3.129,                 3.5583,                0.29069,                0.18436,                0.15294,                0.04799,                 2.4533,                 2.6688,                 3.1826,              0.0066179,              0.0066179,              0.0066179
                      3,                 2.3391,                 2.6292,                 2.8748,                 0.3887,                0.34777,                0.28474,                0.12095,                 2.1376,                 2.4068,                 2.7449,              0.0098853,              0.0098853,              0.0098853
                      4,                 2.0063,                 2.2908,                 2.4763,                0.58848,                0.36732,                0.42323,                0.20871,                 1.8804,                 2.4103,                 2.4363,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8139,                 2.0857,                 2.2556,                0.62948,                0.51816,                0.55947,                 0.2836,                 1.7441,                 1.7177,                 2.2487,               0.009802,               0.009802,               0.009802
                      6,                 1.7356,                 1.9645,                 2.1587,                0.66913,                 0.5649,                 0.6096,                0.31681,                 1.6758,                 1.5299,                 2.1171,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.6586,                 1.8742,                 2.0614,                0.70629,                0.50698,                0.57651,                0.30091,                 1.6709,                 1.7172,                 2.1191,               0.009703,               0.009703,               0.009703
                      8,                 1.6214,                 1.8259,                 2.0221,                0.67354,                0.53212,                0.60032,                0.32564,                 1.6183,                 1.6819,                 2.0653,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.5821,                 1.7982,                 1.9812,                0.69532,                0.59923,                0.65448,                0.37334,                 1.5325,                 1.4338,                 1.9654,               0.009604,               0.009604,               0.009604
                     10,                 1.5417,                 1.7154,                 1.9385,                0.67555,                0.62849,                0.64429,                0.34341,                 1.6171,                 1.4328,                 2.0021,              0.0095545,              0.0095545,              0.0095545
                     11,                  1.508,                 1.6898,                  1.894,                0.68555,                0.64552,                 0.7023,                0.39668,                  1.465,                 1.3099,                  1.858,               0.009505,               0.009505,               0.009505
                     12,                 1.4863,                 1.6497,                 1.8746,                0.71606,                0.65865,                0.70673,                0.40287,                 1.4812,                 1.3227,                 1.8497,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4711,                 1.6442,                 1.8528,                0.71735,                0.67039,                0.71643,                0.41023,                 1.4564,                 1.2638,                 1.8233,               0.009406,               0.009406,               0.009406
                     14,                 1.4772,                 1.6144,                 1.8356,                0.71963,                0.66201,                0.70948,                   0.41,                 1.4626,                 1.2254,                 1.8132,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4351,                 1.5909,                 1.8054,                0.74147,                0.66341,                 0.7396,                  0.422,                 1.4293,                 1.2639,                 1.7971,               0.009307,               0.009307,               0.009307
                     16,                 1.4215,                 1.5711,                 1.7934,                 0.6995,                0.71229,                0.74553,                0.43173,                 1.4235,                 1.2082,                 1.7719,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.4093,                 1.5348,                 1.7756,                0.73534,                0.68017,                0.73894,                0.43076,                 1.4183,                 1.1598,                 1.7765,               0.009208,               0.009208,               0.009208
                     18,                 1.4009,                 1.5337,                 1.7623,                0.72649,                0.70484,                0.75563,                0.44038,                 1.3636,                 1.1388,                 1.7066,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.3726,                 1.4991,                  1.743,                 0.7342,                 0.6944,                0.74531,                0.42312,                 1.3924,                 1.1652,                 1.7458,               0.009109,               0.009109,               0.009109
                     20,                 1.3811,                 1.5027,                 1.7501,                0.71453,                0.71089,                0.75047,                0.42952,                 1.3995,                  1.175,                 1.7577,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.3822,                 1.4738,                 1.7471,                0.76858,                0.67723,                0.76053,                0.44879,                  1.404,                 1.1082,                 1.7525,                0.00901,                0.00901,                0.00901
                     22,                 1.3598,                 1.4571,                 1.7253,                0.76631,                0.72486,                0.77634,                0.45281,                 1.3748,                 1.0835,                 1.6978,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.3323,                 1.4247,                 1.6975,                0.73439,                0.73372,                0.76847,                0.45879,                 1.3556,                 1.0734,                 1.6872,               0.008911,               0.008911,               0.008911
                     24,                 1.3289,                 1.4517,                 1.6904,                0.76161,                0.68855,                0.75468,                0.44912,                 1.3582,                 1.1381,                 1.7105,              0.0088615,              0.0088615,              0.0088615
                     25,                  1.328,                 1.4189,                 1.6995,                0.74914,                0.69832,                0.77711,                0.44765,                 1.3575,                 1.1099,                 1.6851,               0.008812,               0.008812,               0.008812
