                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2284,                 3.7192,                 4.1302,                0.00462,                0.67039,                0.03141,                 0.0091,                 2.9393,                 3.1381,                 3.9596,              0.0033175,              0.0033175,              0.0033175
                      2,                  2.902,                 3.1324,                 3.5607,                0.27036,                0.24302,                0.17056,                0.05396,                 2.4873,                 2.6972,                 3.2078,              0.0066288,              0.0066288,              0.0066288
                      3,                 2.2977,                 2.6008,                 2.8617,                0.36713,                0.33542,                0.25451,                0.11023,                 2.0328,                 2.6108,                 2.6983,              0.0099182,              0.0099182,              0.0099182
                      4,                 1.9882,                 2.2654,                 2.4772,                0.38795,                0.36173,                0.32132,                0.16444,                 1.8752,                 3.3044,                 2.5509,               0.009901,               0.009901,               0.009901
                      5,                 1.8054,                 2.0673,                 2.2687,                 0.6293,                0.52235,                0.55649,                0.28544,                 1.7026,                 1.7361,                  2.223,               0.009868,               0.009868,               0.009868
                      6,                 1.7356,                 1.9554,                 2.1873,                0.57165,                0.43436,                0.47779,                0.23186,                 1.8102,                 1.9953,                 2.3504,               0.009835,               0.009835,               0.009835
                      7,                 1.6625,                 1.8826,                 2.0947,                0.64519,                0.52374,                0.56381,                 0.3069,                 1.6371,                 1.7028,                 2.0839,               0.009802,               0.009802,               0.009802
                      8,                 1.6197,                 1.8262,                 2.0503,                0.71541,                0.57961,                0.63945,                0.33016,                 1.6466,                 1.5264,                 2.1453,               0.009769,               0.009769,               0.009769
                      9,                 1.5798,                 1.8017,                 2.0083,                0.70363,                0.59916,                0.65952,                0.35484,                 1.5708,                 1.4868,                 2.0092,               0.009736,               0.009736,               0.009736
                     10,                 1.5333,                  1.732,                 1.9599,                0.70354,                0.62011,                0.65529,                0.35639,                 1.5675,                 1.4857,                 1.9898,               0.009703,               0.009703,               0.009703
                     11,                  1.508,                 1.6978,                 1.9263,                0.69149,                0.60418,                0.65447,                0.37022,                 1.5196,                 1.4288,                 1.9459,                0.00967,                0.00967,                0.00967
                     12,                 1.4893,                 1.6512,                 1.8995,                0.70121,                0.64242,                0.69633,                0.38186,                 1.5315,                 1.3357,                  1.948,               0.009637,               0.009637,               0.009637
                     13,                 1.4782,                 1.6631,                 1.8834,                0.73329,                0.61055,                0.68544,                0.38434,                  1.491,                 1.3404,                 1.8914,               0.009604,               0.009604,               0.009604
                     14,                 1.4735,                 1.6304,                 1.8618,                0.73044,                0.67745,                0.73002,                0.41509,                 1.4706,                 1.2188,                 1.8652,               0.009571,               0.009571,               0.009571
                     15,                 1.4393,                  1.607,                  1.835,                0.73738,                0.65782,                0.73894,                0.42155,                 1.4074,                 1.2614,                 1.7993,               0.009538,               0.009538,               0.009538
                     16,                 1.4291,                 1.5966,                 1.8256,                0.73935,                0.66341,                 0.7396,                0.42197,                 1.4267,                 1.1981,                 1.8084,               0.009505,               0.009505,               0.009505
                     17,                 1.4199,                 1.5472,                 1.8092,                0.72257,                0.70531,                0.75214,                 0.4257,                 1.4478,                 1.1477,                 1.8387,               0.009472,               0.009472,               0.009472
                     18,                 1.4122,                 1.5434,                 1.7983,                0.74207,                0.69972,                0.75318,                0.43125,                 1.3951,                 1.1623,                 1.7699,               0.009439,               0.009439,               0.009439
                     19,                 1.3792,                 1.5194,                 1.7765,                0.70382,                0.71089,                0.74257,                0.42646,                 1.3907,                 1.1374,                 1.7839,               0.009406,               0.009406,               0.009406
                     20,                 1.3992,                 1.5202,                 1.7814,                0.74911,                0.66899,                0.74411,                 0.4382,                 1.3955,                 1.1439,                 1.7776,               0.009373,               0.009373,               0.009373
                     21,                 1.3956,                 1.5065,                 1.7714,                0.75276,                0.69134,                0.75026,                0.42725,                 1.4204,                 1.1381,                 1.7899,                0.00934,                0.00934,                0.00934
