                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1872,                 3.5631,                 1.3455,                0.23278,                0.28898,                0.16291,                0.09733,                 1.3417,                 2.8602,                 1.4101,              0.0033288,              0.0033288,              0.0033288
                      2,                 1.3663,                 3.1229,                 1.4737,                0.19593,                0.18573,                0.09534,                0.04929,                  1.632,                 3.0069,                 1.6722,              0.0066402,              0.0066402,              0.0066402
                      3,                 1.6285,                 3.1967,                 1.6919,                  0.111,                0.13542,                0.04708,                 0.0201,                 2.0045,                 3.4855,                 2.0912,              0.0099295,              0.0099295,              0.0099295
                      4,                 1.7736,                 3.3057,                 1.8471,                0.19914,                0.15902,                 0.0738,                0.03471,                  1.867,                 3.2992,                 1.9659,               0.009901,               0.009901,               0.009901
                      5,                 1.7211,                 3.1885,                 1.8168,                0.18371,                0.17192,                0.09248,                0.04502,                 1.8443,                 3.0694,                 1.9391,               0.009868,               0.009868,               0.009868
                      6,                 1.6507,                  3.089,                 1.7673,                0.17039,                0.17887,                0.10941,                0.05576,                 1.7417,                 3.0076,                 1.8997,               0.009835,               0.009835,               0.009835
                      7,                 1.6259,                 3.0292,                 1.7445,                0.40525,                0.19275,                0.10803,                0.05716,                 1.7294,                 3.0655,                 1.9059,               0.009802,               0.009802,               0.009802
                      8,                 1.5865,                 2.9558,                 1.7159,                0.43845,                0.18803,                0.12413,                 0.0655,                 1.6947,                 2.9476,                 1.7909,               0.009769,               0.009769,               0.009769
                      9,                 1.5724,                 2.9357,                 1.6986,                0.24303,                0.22538,                 0.1367,                0.07426,                 1.6567,                 2.8057,                 1.7635,               0.009736,               0.009736,               0.009736
                     10,                 1.5419,                 2.8899,                  1.689,                0.24366,                0.23144,                 0.1399,                0.07514,                 1.6065,                 2.7655,                 1.7746,               0.009703,               0.009703,               0.009703
                     11,                 1.5428,                 2.8625,                 1.6815,                0.24452,                0.22471,                0.14528,                0.08309,                 1.5927,                 2.7431,                 1.7194,                0.00967,                0.00967,                0.00967
                     12,                 1.4891,                 2.8006,                  1.638,                0.23479,                0.25497,                  0.153,                0.08471,                 1.5846,                 2.7186,                 1.7393,               0.009637,               0.009637,               0.009637
                     13,                 1.4917,                 2.7655,                 1.6413,                0.25196,                0.25183,                0.16094,                0.09097,                 1.5668,                 2.6798,                  1.714,               0.009604,               0.009604,               0.009604
                     14,                  1.472,                 2.7316,                 1.6242,                 0.2365,                0.25253,                0.16062,                0.08906,                 1.5893,                 2.6835,                 1.7082,               0.009571,               0.009571,               0.009571
                     15,                 1.4632,                 2.6814,                  1.621,                0.23998,                0.26476,                0.16795,                0.09583,                 1.5368,                 2.6207,                 1.6704,               0.009538,               0.009538,               0.009538
                     16,                 1.4526,                 2.7018,                 1.6135,                 0.2547,                0.26249,                0.17868,                0.10258,                 1.5311,                 2.5732,                 1.6555,               0.009505,               0.009505,               0.009505
                     17,                 1.4509,                 2.6828,                 1.6011,                0.25744,                0.27413,                0.17975,                 0.1037,                  1.511,                 2.5648,                 1.6291,               0.009472,               0.009472,               0.009472
                     18,                 1.4331,                 2.6658,                 1.5904,                0.26427,                0.25791,                0.17677,                0.10247,                 1.5014,                 2.5658,                 1.6466,               0.009439,               0.009439,               0.009439
                     19,                 1.4188,                 2.6223,                 1.5794,                0.25968,                  0.271,                0.17491,                0.10144,                 1.5179,                 2.5292,                 1.6273,               0.009406,               0.009406,               0.009406
                     20,                 1.4136,                 2.5788,                 1.5712,                0.25727,                0.26815,                0.18342,                0.10816,                 1.4777,                 2.5296,                 1.6041,               0.009373,               0.009373,               0.009373
                     21,                 1.3908,                 2.5956,                 1.5715,                0.26379,                0.28165,                0.18255,                0.10718,                 1.4986,                 2.5371,                 1.6411,                0.00934,                0.00934,                0.00934
                     22,                 1.3856,                 2.5885,                 1.5596,                0.27647,                0.28148,                0.19069,                0.11399,                 1.4663,                 2.4802,                 1.6014,               0.009307,               0.009307,               0.009307
                     23,                 1.3836,                 2.5358,                 1.5498,                 0.3014,                0.26984,                0.19463,                0.11689,                 1.4522,                 2.4687,                  1.583,               0.009274,               0.009274,               0.009274
                     24,                  1.379,                  2.548,                 1.5426,                0.27959,                0.29074,                0.19603,                0.11766,                 1.4548,                 2.4335,                 1.5905,               0.009241,               0.009241,               0.009241
                     25,                 1.3724,                  2.545,                 1.5382,                0.25694,                 0.2985,                0.19082,                0.11462,                 1.4593,                 2.4617,                 1.5867,               0.009208,               0.009208,               0.009208
                     26,                 1.3556,                 2.5085,                 1.5301,                0.28374,                0.30333,                 0.2015,                0.12105,                 1.4499,                 2.4406,                 1.5784,               0.009175,               0.009175,               0.009175
                     27,                 1.3791,                 2.5238,                 1.5435,                0.29662,                0.29933,                0.21373,                0.12657,                 1.4383,                  2.406,                 1.5857,               0.009142,               0.009142,               0.009142
                     28,                  1.343,                 2.4744,                 1.5157,                0.28396,                 0.2926,                0.20327,                 0.1238,                 1.4268,                 2.4132,                 1.5598,               0.009109,               0.009109,               0.009109
                     29,                 1.3299,                 2.4501,                 1.5134,                0.27699,                0.30487,                0.20703,                0.12487,                 1.4305,                 2.4056,                 1.5542,               0.009076,               0.009076,               0.009076
                     30,                 1.3367,                 2.4848,                 1.5199,                0.28962,                 0.2966,                0.21144,                0.12846,                 1.4103,                 2.3978,                 1.5494,               0.009043,               0.009043,               0.009043
                     31,                 1.3323,                 2.4452,                 1.5086,                0.28132,                0.29766,                0.20484,                0.12638,                 1.4077,                 2.3992,                 1.5379,                0.00901,                0.00901,                0.00901
                     32,                 1.3373,                 2.4403,                 1.5134,                0.30451,                0.30903,                0.21075,                0.12866,                 1.4021,                 2.3766,                 1.5354,               0.008977,               0.008977,               0.008977
                     33,                 1.3138,                 2.4166,                 1.4911,                0.29179,                  0.316,                0.21405,                0.13046,                 1.3998,                 2.3585,                 1.5413,               0.008944,               0.008944,               0.008944
                     34,                 1.3285,                 2.3971,                 1.4985,                0.29231,                0.31233,                0.21612,                0.13409,                 1.3913,                 2.3221,                 1.5241,               0.008911,               0.008911,               0.008911
                     35,                 1.3087,                 2.3957,                 1.4868,                0.30573,                0.31024,                0.22373,                 0.1396,                 1.3867,                 2.3121,                 1.5198,               0.008878,               0.008878,               0.008878
                     36,                 1.3039,                 2.3826,                 1.4795,                 0.3012,                0.32332,                0.21902,                0.13419,                 1.4064,                 2.3039,                 1.5384,               0.008845,               0.008845,               0.008845
                     37,                 1.3163,                 2.3607,                 1.4946,                0.28734,                0.32257,                0.22023,                0.13815,                 1.3771,                 2.3165,                  1.513,               0.008812,               0.008812,               0.008812
                     38,                 1.2829,                 2.3309,                 1.4651,                0.30895,                0.31411,                0.22491,                0.13897,                 1.3831,                 2.2992,                 1.5136,               0.008779,               0.008779,               0.008779
                     39,                 1.3035,                 2.3914,                 1.4801,                 0.2994,                0.32708,                0.22745,                0.14236,                 1.3789,                 2.2803,                 1.5147,               0.008746,               0.008746,               0.008746
                     40,                 1.2801,                 2.3338,                 1.4645,                0.30557,                0.31562,                0.22608,                0.14076,                  1.376,                 2.2984,                 1.5063,               0.008713,               0.008713,               0.008713
                     41,                 1.2925,                 2.3655,                 1.4768,                0.30461,                0.31977,                0.22573,                0.14083,                 1.3651,                 2.2947,                 1.4998,                0.00868,                0.00868,                0.00868
                     42,                 1.2967,                 2.3304,                 1.4756,                0.30332,                0.32763,                0.23074,                 0.1441,                 1.3607,                 2.2726,                 1.5017,               0.008647,               0.008647,               0.008647
                     43,                 1.2995,                 2.3406,                  1.476,                0.30236,                0.31787,                0.23038,                0.14435,                   1.35,                 2.2602,                 1.4872,               0.008614,               0.008614,               0.008614
                     44,                 1.2841,                 2.3287,                 1.4674,                0.29894,                0.32907,                0.23001,                0.14408,                 1.3672,                  2.262,                 1.5027,               0.008581,               0.008581,               0.008581
                     45,                 1.2593,                 2.2672,                 1.4492,                0.29814,                0.33146,                0.22988,                0.14476,                 1.3576,                 2.2508,                 1.4981,               0.008548,               0.008548,               0.008548
                     46,                 1.2882,                 2.3162,                 1.4675,                0.32279,                0.31788,                0.22947,                0.14417,                 1.3518,                 2.2477,                 1.4872,               0.008515,               0.008515,               0.008515
                     47,                 1.2697,                  2.281,                 1.4528,                0.31446,                0.32754,                0.23285,                0.14711,                 1.3395,                 2.2376,                 1.4765,               0.008482,               0.008482,               0.008482
                     48,                 1.2786,                  2.299,                 1.4569,                0.31195,                0.33326,                0.23482,                0.14975,                 1.3377,                 2.2237,                 1.4783,               0.008449,               0.008449,               0.008449
                     49,                 1.2831,                 2.3117,                 1.4588,                0.31625,                0.32988,                0.23731,                0.14965,                 1.3365,                 2.2193,                 1.4787,               0.008416,               0.008416,               0.008416
                     50,                 1.2718,                 2.2993,                 1.4574,                0.31744,                0.32979,                0.23882,                0.15271,                 1.3378,                 2.2183,                  1.475,               0.008383,               0.008383,               0.008383
                     51,                 1.2608,                 2.2392,                  1.441,                0.30845,                0.33997,                0.24026,                0.15333,                 1.3324,                 2.2204,                 1.4684,                0.00835,                0.00835,                0.00835
                     52,                 1.2497,                 2.2564,                 1.4391,                 0.3185,                0.34047,                0.24406,                0.15468,                 1.3383,                 2.2064,                 1.4771,               0.008317,               0.008317,               0.008317
                     53,                  1.235,                 2.2386,                 1.4349,                0.31688,                0.33706,                0.24383,                0.15503,                 1.3361,                 2.2024,                 1.4752,               0.008284,               0.008284,               0.008284
                     54,                 1.2621,                 2.2649,                 1.4468,                0.32775,                0.33683,                0.24442,                0.15407,                 1.3318,                 2.1969,                 1.4732,               0.008251,               0.008251,               0.008251
                     55,                 1.2354,                 2.1803,                 1.4303,                0.32962,                0.33085,                0.24466,                0.15595,                 1.3326,                 2.1869,                 1.4717,               0.008218,               0.008218,               0.008218
                     56,                 1.2586,                 2.2378,                 1.4443,                0.31832,                0.34157,                0.24413,                0.15626,                 1.3277,                 2.1868,                  1.469,               0.008185,               0.008185,               0.008185
